f1,f1_activation,f1_fulfill_date,f1_day_offset,f1_fulfill_lottery,f2,f2_origin,f2_confirmer,same_day_new_strong
69,2021-10-16,2021-10-20,4,Quiniela Leidsa,67,40,88,True
12,2021-10-18,2021-10-21,3,New York 2:30,68,47,27,True
41,2021-10-18,2021-10-21,3,Quiniela Real,68,47,27,True
67,2021-10-20,2021-10-25,5,Loteria Nacional,71,42,56,True
44,2021-10-31,2021-11-01,1,Gana Mas,14,39,54,True
44,2021-10-31,2021-11-01,1,Gana Mas,30,39,3,True
44,2021-10-31,2021-11-01,1,Gana Mas,41,39,56,True
14,2021-11-01,2021-11-04,3,Gana Mas,57,30,11,True
30,2021-11-01,2021-11-04,3,Quiniela Real,57,30,11,True
41,2021-11-01,2021-11-05,4,Quiniela Leidsa,32,36,45,True
57,2021-11-04,2021-11-08,4,Quiniela Loteka,73,48,28,True
73,2021-11-08,2021-11-09,1,New York 10:30,42,37,44,True
22,2021-11-11,2021-11-14,3,Quiniela Real,1,34,10,True
29,2021-11-25,2021-12-01,6,Quiniela Real,41,39,56,True
9,2021-12-06,2021-12-07,1,Quiniela Leidsa,28,43,23,True
35,2021-12-16,2021-12-21,5,New York 10:30,7,42,35,True
35,2021-12-16,2021-12-21,5,New York 10:30,44,43,35,True
35,2021-12-17,2021-12-21,4,New York 10:30,7,42,35,True
35,2021-12-17,2021-12-21,4,New York 10:30,44,43,35,True
26,2021-12-31,2022-01-06,6,Loteria Nacional,1,34,10,True
26,2021-12-31,2022-01-06,6,Loteria Nacional,76,34,92,True
1,2022-01-06,2022-01-08,2,Quiniela Loteka,7,42,9,True
1,2022-01-06,2022-01-08,2,Quiniela Loteka,23,42,77,True
1,2022-01-06,2022-01-08,2,Quiniela Loteka,71,42,56,True
35,2022-01-20,2022-01-21,1,Quiniela Real,42,37,35,True
35,2022-01-20,2022-01-21,1,Quiniela Real,44,43,35,True
35,2022-01-20,2022-01-21,1,Quiniela Real,54,35,14,True
42,2022-01-21,2022-01-22,1,Quiniela Leidsa,23,42,73,True
44,2022-01-21,2022-01-22,1,Gana Mas,23,42,73,True
54,2022-01-21,2022-01-25,4,Quiniela Loteka,22,44,7,True
54,2022-01-21,2022-01-25,4,Quiniela Loteka,70,44,7,True
70,2022-01-25,2022-01-29,4,Quiniela Loteka,73,48,23,True
70,2022-01-25,2022-01-29,4,Quiniela Loteka,89,48,12,True
70,2022-01-25,2022-01-29,4,Quiniela Loteka,93,41,48,True
87,2022-01-26,2022-01-29,3,Loteria Nacional,73,48,23,True
87,2022-01-26,2022-01-29,3,Loteria Nacional,89,48,12,True
87,2022-01-26,2022-01-29,3,Loteria Nacional,93,41,48,True
93,2022-01-29,2022-02-02,4,Quiniela Leidsa,73,48,23,True
93,2022-01-29,2022-02-02,4,Quiniela Leidsa,89,48,71,True
92,2022-02-15,2022-02-16,1,New York 2:30,9,39,22,True
92,2022-02-15,2022-02-16,1,New York 2:30,46,39,86,True
40,2022-02-22,2022-02-25,3,Quiniela Real,13,41,17,True
40,2022-02-22,2022-02-25,3,Quiniela Real,56,40,41,True
40,2022-02-22,2022-02-25,3,Quiniela Real,89,48,41,True
40,2022-02-22,2022-02-25,3,Quiniela Real,93,41,48,True
48,2022-02-22,2022-02-25,3,New York 10:30,13,41,17,True
48,2022-02-22,2022-02-25,3,New York 10:30,56,40,41,True
48,2022-02-22,2022-02-25,3,New York 10:30,89,48,41,True
48,2022-02-22,2022-02-25,3,New York 10:30,93,41,48,True
13,2022-02-25,2022-03-01,4,Loteria Nacional,70,44,22,True
13,2022-02-25,2022-03-01,4,Loteria Nacional,75,44,62,True
53,2022-02-28,2022-03-01,1,Gana Mas,70,44,22,True
53,2022-02-28,2022-03-01,1,Gana Mas,75,44,62,True
70,2022-02-28,2022-03-01,1,Quiniela Real,75,44,62,True
89,2022-02-25,2022-02-28,3,Quiniela Loteka,26,28,72,True
89,2022-02-25,2022-02-28,3,Quiniela Loteka,53,28,22,True
89,2022-02-25,2022-02-28,3,Quiniela Loteka,59,44,26,True
89,2022-02-25,2022-02-28,3,Quiniela Loteka,63,38,22,True
89,2022-02-25,2022-02-28,3,Quiniela Loteka,70,44,22,True
93,2022-02-25,2022-02-26,1,Quiniela Leidsa,29,41,22,True
26,2022-02-28,2022-03-07,7,Loteria Nacional,3,31,83,True
70,2022-03-05,2022-03-07,2,Quiniela Loteka,3,31,83,True
63,2022-02-28,2022-03-05,5,Quiniela Leidsa,22,44,7,True
63,2022-02-28,2022-03-05,5,Quiniela Leidsa,70,44,7,True
63,2022-02-28,2022-03-05,5,Quiniela Leidsa,74,46,31,True
63,2022-02-28,2022-03-05,5,Quiniela Leidsa,90,46,7,True
44,2022-03-03,2022-03-05,2,Quiniela Real,22,44,7,True
44,2022-03-03,2022-03-05,2,Quiniela Real,70,44,7,True
44,2022-03-03,2022-03-05,2,Quiniela Real,74,46,31,True
44,2022-03-03,2022-03-05,2,Quiniela Real,90,46,7,True
81,2022-03-03,2022-03-05,2,New York 2:30,22,44,7,True
81,2022-03-03,2022-03-05,2,New York 2:30,70,44,7,True
81,2022-03-03,2022-03-05,2,New York 2:30,74,46,31,True
81,2022-03-03,2022-03-05,2,New York 2:30,90,46,7,True
70,2022-03-01,2022-03-03,2,Quiniela Leidsa,44,43,7,True
70,2022-03-01,2022-03-03,2,Quiniela Leidsa,81,43,52,True
22,2022-03-05,2022-03-09,4,New York 2:30,48,36,93,True
3,2022-03-07,2022-03-08,1,Quiniela Leidsa,20,38,2,True
22,2022-03-11,2022-03-14,3,New York 10:30,41,39,71,True
22,2022-03-11,2022-03-14,3,New York 10:30,82,33,65,True
70,2022-03-11,2022-03-12,1,Quiniela Loteka,69,45,91,True
41,2022-03-14,2022-03-17,3,Quiniela Loteka,7,42,9,True
41,2022-03-14,2022-03-17,3,Quiniela Loteka,50,42,5,True
82,2022-03-14,2022-03-17,3,Quiniela Leidsa,7,42,9,True
82,2022-03-14,2022-03-17,3,Quiniela Leidsa,50,42,5,True
21,2022-03-22,2022-03-24,2,Gana Mas,89,48,12,True
50,2022-03-23,2022-03-29,6,New York 2:30,80,45,8,True
44,2022-03-28,2022-03-29,1,Gana Mas,80,45,8,True
90,2022-03-28,2022-03-29,1,New York 10:30,80,45,8,True
68,2022-03-25,2022-03-28,3,New York 10:30,44,43,53,True
68,2022-03-25,2022-03-28,3,New York 10:30,90,46,53,True
69,2022-03-25,2022-04-01,7,Loteria Nacional,90,46,9,True
29,2022-03-27,2022-04-01,5,Quiniela Real,90,46,9,True
29,2022-03-31,2022-04-01,1,Quiniela Real,90,46,9,True
70,2022-03-31,2022-04-04,4,Gana Mas,89,48,41,True
70,2022-03-31,2022-04-04,4,Gana Mas,93,41,48,True
8,2022-04-02,2022-04-04,2,Quiniela Loteka,89,48,41,True
8,2022-04-02,2022-04-04,2,Quiniela Loteka,93,41,48,True
90,2022-04-01,2022-04-02,1,Quiniela Leidsa,8,40,80,True
93,2022-04-04,2022-04-11,7,Gana Mas,88,31,79,True
93,2022-04-06,2022-04-11,5,Gana Mas,88,31,79,True
70,2022-04-17,2022-04-21,4,New York 10:30,71,42,56,True
58,2022-04-23,2022-04-24,1,New York 2:30,7,42,90,True
58,2022-04-23,2022-04-24,1,New York 2:30,84,47,58,True
90,2022-04-23,2022-04-24,1,Quiniela Leidsa,7,42,90,True
90,2022-04-23,2022-04-24,1,Quiniela Leidsa,84,47,58,True
22,2022-04-29,2022-04-30,1,Quiniela Leidsa,52,38,81,True
22,2022-04-29,2022-04-30,1,Quiniela Leidsa,63,38,29,True
22,2022-04-29,2022-04-30,1,Quiniela Leidsa,85,36,81,True
58,2022-05-01,2022-05-04,3,New York 10:30,77,32,28,True
58,2022-05-01,2022-05-04,3,New York 10:30,83,49,3,True
83,2022-05-04,2022-05-06,2,Quiniela Leidsa,35,49,22,True
83,2022-05-04,2022-05-06,2,Quiniela Leidsa,44,43,22,True
90,2022-05-23,2022-05-26,3,Loteria Nacional,1,34,10,True
90,2022-05-23,2022-05-26,3,Loteria Nacional,26,28,34,True
90,2022-05-23,2022-05-26,3,Loteria Nacional,53,28,63,True
71,2022-05-24,2022-05-31,7,Quiniela Leidsa,81,43,85,True
1,2022-05-26,2022-05-31,5,Quiniela Real,81,43,85,True
86,2022-05-27,2022-05-31,4,Loteria Nacional,81,43,85,True
26,2022-05-26,2022-05-27,1,New York 2:30,6,35,60,True
26,2022-05-26,2022-05-27,1,New York 2:30,86,35,46,True
26,2022-05-26,2022-05-27,1,New York 2:30,90,46,35,True
53,2022-05-26,2022-06-02,7,Quiniela Leidsa,26,28,72,True
53,2022-05-29,2022-06-02,4,Quiniela Leidsa,26,28,72,True
28,2022-06-01,2022-06-02,1,New York 2:30,26,28,72,True
28,2022-06-01,2022-06-02,1,New York 2:30,53,28,90,True
72,2022-06-01,2022-06-02,1,Quiniela Leidsa,26,28,72,True
72,2022-06-01,2022-06-02,1,Quiniela Leidsa,53,28,90,True
90,2022-05-27,2022-05-29,2,Quiniela Real,53,28,44,True
81,2022-05-31,2022-06-01,1,Quiniela Real,28,43,87,True
81,2022-05-31,2022-06-01,1,Quiniela Real,72,40,34,True
81,2022-05-31,2022-06-01,1,Quiniela Real,73,48,87,True
73,2022-06-01,2022-06-06,5,New York 2:30,53,28,35,True
42,2022-06-04,2022-06-06,2,Gana Mas,53,28,35,True
28,2022-06-05,2022-06-06,1,Gana Mas,53,28,35,True
53,2022-06-02,2022-06-05,3,Gana Mas,28,43,87,True
53,2022-06-02,2022-06-05,3,Gana Mas,44,43,22,True
53,2022-06-02,2022-06-05,3,Gana Mas,77,32,87,True
53,2022-06-06,2022-06-07,1,Gana Mas,35,49,53,True
53,2022-06-06,2022-06-07,1,Gana Mas,42,37,53,True
42,2022-06-07,2022-06-08,1,Loteria Nacional,44,43,29,True
84,2022-06-10,2022-06-16,6,New York 2:30,35,49,22,True
84,2022-06-10,2022-06-16,6,New York 2:30,63,38,22,True
84,2022-06-10,2022-06-16,6,New York 2:30,70,44,22,True
84,2022-06-10,2022-06-16,6,New York 2:30,91,44,57,True
27,2022-06-11,2022-06-16,5,Quiniela Loteka,35,49,22,True
27,2022-06-11,2022-06-16,5,Quiniela Loteka,63,38,22,True
27,2022-06-11,2022-06-16,5,Quiniela Loteka,70,44,22,True
27,2022-06-11,2022-06-16,5,Quiniela Loteka,91,44,57,True
53,2022-06-26,2022-06-27,1,Quiniela Loteka,9,39,42,True
63,2022-06-30,2022-07-03,3,Quiniela Leidsa,42,37,29,True
63,2022-06-30,2022-07-03,3,Quiniela Leidsa,53,28,29,True
51,2022-07-05,2022-07-07,2,Quiniela Real,90,46,63,True
10,2022-07-06,2022-07-13,7,Gana Mas,42,37,63,True
41,2022-07-23,2022-07-24,1,New York 10:30,29,41,9,True
79,2022-07-25,2022-07-31,6,Quiniela Real,29,41,7,True
7,2022-07-28,2022-07-31,3,Quiniela Loteka,29,41,7,True
29,2022-07-31,2022-08-05,5,Quiniela Loteka,41,39,56,True
14,2022-08-07,2022-08-08,1,Quiniela Leidsa,85,36,81,True
7,2022-08-09,2022-08-10,1,New York 10:30,56,40,12,True
7,2022-08-17,2022-08-19,2,New York 10:30,29,41,44,True
79,2022-08-17,2022-08-23,6,New York 2:30,5,37,50,True
79,2022-08-17,2022-08-23,6,New York 2:30,42,37,22,True
42,2022-08-23,2022-08-28,5,Quiniela Real,7,42,29,True
42,2022-08-23,2022-08-28,5,Quiniela Real,29,41,7,True
42,2022-08-23,2022-08-28,5,Quiniela Real,71,42,41,True
42,2022-08-23,2022-08-28,5,Quiniela Real,89,48,41,True
42,2022-08-23,2022-08-28,5,Quiniela Real,93,41,48,True
22,2022-08-25,2022-08-28,3,Quiniela Real,7,42,29,True
22,2022-08-25,2022-08-28,3,Quiniela Real,29,41,7,True
22,2022-08-25,2022-08-28,3,Quiniela Real,71,42,41,True
22,2022-08-25,2022-08-28,3,Quiniela Real,89,48,41,True
22,2022-08-25,2022-08-28,3,Quiniela Real,93,41,48,True
7,2022-08-28,2022-08-31,3,Loteria Nacional,23,42,73,True
42,2022-08-30,2022-08-31,1,Quiniela Real,23,42,73,True
93,2022-08-28,2022-09-02,5,Quiniela Leidsa,22,44,63,True
93,2022-08-28,2022-09-02,5,Quiniela Leidsa,35,49,44,True
93,2022-08-28,2022-09-02,5,Quiniela Leidsa,70,44,63,True
25,2022-08-30,2022-09-02,3,Loteria Nacional,22,44,63,True
25,2022-08-30,2022-09-02,3,Loteria Nacional,35,49,44,True
25,2022-08-30,2022-09-02,3,Loteria Nacional,70,44,63,True
22,2022-09-02,2022-09-03,1,Gana Mas,35,49,42,True
53,2022-09-08,2022-09-09,1,Quiniela Leidsa,14,39,54,True
53,2022-09-08,2022-09-09,1,Quiniela Leidsa,94,39,84,True
93,2022-09-10,2022-09-11,1,New York 2:30,56,40,12,True
7,2022-09-15,2022-09-17,2,Quiniela Leidsa,52,38,85,True
7,2022-09-15,2022-09-17,2,Quiniela Leidsa,63,38,7,True
23,2022-09-15,2022-09-17,2,Quiniela Leidsa,52,38,85,True
23,2022-09-15,2022-09-17,2,Quiniela Leidsa,63,38,7,True
39,2022-09-18,2022-09-22,4,Loteria Nacional,67,40,88,True
39,2022-09-18,2022-09-22,4,Loteria Nacional,89,48,56,True
67,2022-09-22,2022-09-27,5,Quiniela Loteka,12,43,71,True
67,2022-09-22,2022-09-27,5,Quiniela Loteka,28,43,73,True
67,2022-09-22,2022-09-27,5,Quiniela Loteka,92,43,27,True
53,2022-10-02,2022-10-06,4,Quiniela Leidsa,27,26,76,True
9,2022-10-09,2022-10-12,3,Quiniela Loteka,63,38,9,True
9,2022-10-09,2022-10-12,3,Quiniela Loteka,100,38,10,True
9,2022-10-11,2022-10-12,1,Quiniela Loteka,63,38,9,True
9,2022-10-11,2022-10-12,1,Quiniela Loteka,100,38,10,True
48,2022-10-09,2022-10-13,4,Quiniela Loteka,39,33,78,True
71,2022-10-11,2022-10-18,7,New York 2:30,56,40,12,True
87,2022-10-14,2022-10-18,4,Loteria Nacional,56,40,12,True
63,2022-10-12,2022-10-16,4,New York 10:30,28,43,77,True
63,2022-10-12,2022-10-16,4,New York 10:30,44,43,63,True
82,2022-10-14,2022-10-16,2,Quiniela Leidsa,28,43,77,True
82,2022-10-14,2022-10-16,2,Quiniela Leidsa,44,43,63,True
28,2022-10-16,2022-10-17,1,New York 10:30,5,37,50,True
63,2022-10-22,2022-10-28,6,Loteria Nacional,51,40,21,True
42,2022-10-23,2022-10-26,3,Quiniela Loteka,44,43,29,True
42,2022-10-23,2022-10-26,3,Quiniela Loteka,69,45,11,True
44,2022-10-26,2022-10-29,3,Loteria Nacional,63,38,44,True
44,2022-10-26,2022-10-29,3,Loteria Nacional,75,44,62,True
89,2022-10-27,2022-10-29,2,Loteria Nacional,63,38,44,True
89,2022-10-27,2022-10-29,2,Loteria Nacional,75,44,62,True
69,2022-10-26,2022-10-27,1,Quiniela Loteka,23,42,73,True
69,2022-10-26,2022-10-27,1,Quiniela Loteka,71,42,56,True
69,2022-10-26,2022-10-27,1,Quiniela Loteka,89,48,56,True
69,2022-10-26,2022-10-27,1,Quiniela Loteka,90,46,42,True
23,2022-10-27,2022-10-30,3,Loteria Nacional,80,45,8,True
23,2022-10-27,2022-10-30,3,Loteria Nacional,84,47,94,True
90,2022-10-27,2022-10-30,3,Quiniela Leidsa,80,45,8,True
90,2022-10-27,2022-10-30,3,Quiniela Leidsa,84,47,94,True
51,2022-10-28,2022-10-31,3,Gana Mas,44,43,9,True
44,2022-10-31,2022-11-03,3,New York 10:30,29,41,22,True
44,2022-10-31,2022-11-03,3,New York 10:30,79,47,67,True
45,2022-11-16,2022-11-17,1,Quiniela Loteka,92,43,68,True
92,2022-11-17,2022-11-20,3,Quiniela Leidsa,35,49,7,True
92,2022-11-17,2022-11-20,3,Quiniela Leidsa,44,43,7,True
9,2022-11-28,2022-11-30,2,New York 2:30,22,44,9,True
9,2022-11-28,2022-11-30,2,New York 2:30,70,44,9,True
70,2022-11-30,2022-12-06,6,New York 2:30,63,38,9,True
42,2022-12-01,2022-12-03,2,New York 2:30,3,31,30,True
42,2022-12-01,2022-12-03,2,New York 2:30,83,49,30,True
63,2022-12-06,2022-12-12,6,Quiniela Leidsa,57,30,69,True
7,2022-12-07,2022-12-13,6,Quiniela Real,8,40,80,True
9,2022-12-11,2022-12-13,2,Loteria Nacional,8,40,80,True
34,2022-12-08,2022-12-15,7,Quiniela Loteka,35,49,9,True
87,2022-12-18,2022-12-22,4,Quiniela Loteka,7,42,22,True
87,2022-12-18,2022-12-22,4,Quiniela Loteka,22,44,42,True
87,2022-12-18,2022-12-22,4,Quiniela Loteka,70,44,22,True
7,2022-12-28,2022-12-29,1,New York 10:30,79,47,67,True
80,2022-12-30,2023-01-03,4,Gana Mas,77,32,28,True
42,2022-12-31,2023-01-06,6,Loteria Nacional,50,42,5,True
10,2023-01-05,2023-01-09,4,New York 2:30,42,37,22,True
65,2023-01-05,2023-01-12,7,New York 10:30,7,42,90,True
65,2023-01-05,2023-01-12,7,New York 10:30,84,47,94,True
42,2023-01-09,2023-01-12,3,New York 2:30,7,42,90,True
42,2023-01-09,2023-01-12,3,New York 2:30,84,47,94,True
42,2023-01-11,2023-01-12,1,New York 2:30,7,42,90,True
42,2023-01-11,2023-01-12,1,New York 2:30,84,47,94,True
35,2023-01-07,2023-01-10,3,New York 10:30,15,29,96,True
35,2023-01-07,2023-01-10,3,New York 10:30,44,43,29,True
63,2023-01-07,2023-01-10,3,Loteria Nacional,15,29,96,True
63,2023-01-07,2023-01-10,3,Loteria Nacional,44,43,29,True
7,2023-01-08,2023-01-10,2,New York 2:30,15,29,96,True
7,2023-01-08,2023-01-10,2,New York 2:30,44,43,29,True
42,2023-01-07,2023-01-08,1,Quiniela Loteka,7,42,53,True
42,2023-01-07,2023-01-08,1,Quiniela Loteka,77,32,23,True
77,2023-01-08,2023-01-11,3,Quiniela Leidsa,42,37,44,True
77,2023-01-08,2023-01-11,3,Quiniela Leidsa,59,44,34,True
77,2023-01-08,2023-01-11,3,Quiniela Leidsa,76,34,27,True
15,2023-01-10,2023-01-11,1,Gana Mas,42,37,44,True
15,2023-01-10,2023-01-11,1,Gana Mas,59,44,34,True
15,2023-01-10,2023-01-11,1,Gana Mas,76,34,27,True
44,2023-01-10,2023-01-11,1,Loteria Nacional,42,37,44,True
44,2023-01-10,2023-01-11,1,Loteria Nacional,59,44,34,True
44,2023-01-10,2023-01-11,1,Loteria Nacional,76,34,27,True
59,2023-01-11,2023-01-14,3,Quiniela Loteka,44,43,9,True
59,2023-01-11,2023-01-14,3,Quiniela Loteka,53,28,9,True
59,2023-01-11,2023-01-14,3,Quiniela Loteka,63,38,9,True
7,2023-01-12,2023-01-17,5,Quiniela Loteka,42,37,7,True
84,2023-01-12,2023-01-13,1,Loteria Nacional,6,35,60,True
42,2023-01-17,2023-01-22,5,Quiniela Real,48,36,93,True
42,2023-01-17,2023-01-22,5,Quiniela Real,85,36,52,True
42,2023-01-17,2023-01-22,5,Quiniela Real,97,52,93,True
15,2023-01-20,2023-01-22,2,Quiniela Loteka,48,36,93,True
15,2023-01-20,2023-01-22,2,Quiniela Loteka,85,36,52,True
15,2023-01-20,2023-01-22,2,Quiniela Loteka,97,52,93,True
97,2023-01-22,2023-01-24,2,Quiniela Leidsa,87,33,73,True
87,2023-01-24,2023-01-26,2,Quiniela Real,23,42,87,True
81,2023-01-25,2023-01-26,1,New York 10:30,23,42,87,True
23,2023-01-26,2023-02-01,6,New York 2:30,35,49,90,True
35,2023-02-01,2023-02-02,1,New York 2:30,45,50,32,True
35,2023-02-01,2023-02-02,1,New York 2:30,58,46,84,True
35,2023-02-01,2023-02-02,1,New York 2:30,94,39,84,True
27,2023-02-08,2023-02-14,6,Quiniela Real,22,44,53,True
27,2023-02-08,2023-02-14,6,Quiniela Real,70,44,53,True
22,2023-02-14,2023-02-16,2,Quiniela Real,29,41,63,True
70,2023-02-14,2023-02-15,1,Quiniela Real,10,37,1,True
69,2023-02-19,2023-02-25,6,Gana Mas,74,46,31,True
70,2023-02-24,2023-02-25,1,Loteria Nacional,74,46,31,True
11,2023-02-20,2023-02-23,3,Quiniela Real,42,37,53,True
25,2023-02-21,2023-02-24,3,Loteria Nacional,22,44,90,True
25,2023-02-21,2023-02-24,3,Loteria Nacional,70,44,90,True
25,2023-02-21,2023-02-24,3,Loteria Nacional,75,44,62,True
42,2023-02-23,2023-02-26,3,Gana Mas,44,43,42,True
42,2023-02-23,2023-02-26,3,Gana Mas,71,42,12,True
42,2023-02-23,2023-02-26,3,Gana Mas,92,43,68,True
92,2023-02-26,2023-03-05,7,Loteria Nacional,85,36,81,True
74,2023-02-27,2023-03-05,6,Quiniela Leidsa,85,36,81,True
7,2023-03-03,2023-03-09,6,New York 2:30,35,49,7,True
90,2023-03-08,2023-03-09,1,Quiniela Real,35,49,7,True
85,2023-03-05,2023-03-07,2,New York 2:30,27,26,76,True
85,2023-03-05,2023-03-07,2,New York 2:30,92,43,76,True
92,2023-03-07,2023-03-14,7,New York 10:30,81,43,85,True
81,2023-03-14,2023-03-20,6,Loteria Nacional,59,44,34,True
23,2023-03-17,2023-03-20,3,Loteria Nacional,59,44,34,True
27,2023-03-16,2023-03-19,3,New York 10:30,22,44,29,True
27,2023-03-16,2023-03-19,3,New York 10:30,70,44,29,True
68,2023-03-16,2023-03-23,7,Quiniela Real,100,38,1,True
79,2023-03-16,2023-03-18,2,Loteria Nacional,28,43,77,True
28,2023-03-18,2023-03-22,4,Quiniela Leidsa,12,43,41,True
28,2023-03-18,2023-03-22,4,Quiniela Leidsa,29,41,22,True
28,2023-03-18,2023-03-22,4,Quiniela Leidsa,44,43,22,True
22,2023-03-19,2023-03-22,3,Quiniela Real,12,43,41,True
22,2023-03-19,2023-03-22,3,Quiniela Real,29,41,22,True
22,2023-03-19,2023-03-22,3,Quiniela Real,44,43,22,True
44,2023-03-22,2023-03-27,5,New York 2:30,53,28,9,True
9,2023-04-01,2023-04-08,7,Quiniela Real,29,41,9,True
28,2023-04-05,2023-04-08,3,New York 10:30,29,41,9,True
41,2023-04-01,2023-04-03,2,Quiniela Real,29,41,35,True
86,2023-04-01,2023-04-05,4,Quiniela Leidsa,28,43,23,True
35,2023-04-12,2023-04-15,3,Quiniela Leidsa,56,40,89,True
7,2023-04-13,2023-04-15,2,New York 2:30,56,40,89,True
56,2023-04-15,2023-04-20,5,Loteria Nacional,17,34,13,True
56,2023-04-15,2023-04-20,5,Loteria Nacional,83,49,30,True
90,2023-04-25,2023-04-27,2,Quiniela Loteka,44,43,7,True
42,2023-04-30,2023-05-04,4,Quiniela Loteka,28,43,73,True
42,2023-04-30,2023-05-04,4,Quiniela Loteka,92,43,68,True
9,2023-05-03,2023-05-06,3,Quiniela Loteka,25,30,16,True
9,2023-05-03,2023-05-06,3,Quiniela Loteka,44,43,9,True
9,2023-05-03,2023-05-06,3,Quiniela Loteka,92,43,27,True
92,2023-05-04,2023-05-05,1,Quiniela Loteka,67,40,88,True
44,2023-05-06,2023-05-07,1,New York 10:30,7,42,63,True
44,2023-05-06,2023-05-07,1,New York 10:30,9,39,42,True
44,2023-05-06,2023-05-07,1,New York 10:30,94,39,84,True
9,2023-05-07,2023-05-14,7,Gana Mas,27,26,76,True
63,2023-05-09,2023-05-15,6,Loteria Nacional,9,39,63,True
63,2023-05-09,2023-05-15,6,Loteria Nacional,41,39,89,True
63,2023-05-09,2023-05-15,6,Loteria Nacional,46,39,86,True
27,2023-05-14,2023-05-16,2,Quiniela Loteka,58,46,94,True
46,2023-05-15,2023-05-16,1,Gana Mas,58,46,94,True
7,2023-05-29,2023-06-03,5,New York 2:30,9,39,7,True
7,2023-05-29,2023-06-03,5,New York 2:30,30,39,83,True
7,2023-05-29,2023-06-03,5,New York 2:30,44,43,7,True
29,2023-05-29,2023-06-03,5,Quiniela Leidsa,9,39,7,True
29,2023-05-29,2023-06-03,5,Quiniela Leidsa,30,39,83,True
29,2023-05-29,2023-06-03,5,Quiniela Leidsa,44,43,7,True
44,2023-06-03,2023-06-10,7,Gana Mas,22,44,9,True
44,2023-06-03,2023-06-10,7,Gana Mas,59,44,34,True
44,2023-06-03,2023-06-10,7,Gana Mas,70,44,9,True
34,2023-06-05,2023-06-10,5,New York 2:30,22,44,9,True
34,2023-06-05,2023-06-10,5,New York 2:30,59,44,34,True
34,2023-06-05,2023-06-10,5,New York 2:30,70,44,9,True
22,2023-06-10,2023-06-13,3,Gana Mas,100,38,1,True
59,2023-06-10,2023-06-13,3,Loteria Nacional,100,38,1,True
84,2023-06-12,2023-06-13,1,Quiniela Loteka,100,38,1,True
14,2023-06-17,2023-06-19,2,Quiniela Leidsa,28,43,73,True
14,2023-06-17,2023-06-19,2,Quiniela Leidsa,44,43,70,True
28,2023-06-19,2023-06-26,7,Quiniela Leidsa,20,38,2,True
28,2023-06-19,2023-06-26,7,Quiniela Leidsa,68,47,76,True
28,2023-06-19,2023-06-26,7,Quiniela Leidsa,79,47,67,True
44,2023-06-19,2023-06-26,7,Gana Mas,20,38,2,True
44,2023-06-19,2023-06-26,7,Gana Mas,68,47,76,True
44,2023-06-19,2023-06-26,7,Gana Mas,79,47,67,True
28,2023-06-23,2023-06-26,3,Quiniela Leidsa,20,38,2,True
28,2023-06-23,2023-06-26,3,Quiniela Leidsa,68,47,76,True
28,2023-06-23,2023-06-26,3,Quiniela Leidsa,79,47,67,True
44,2023-06-23,2023-06-26,3,Gana Mas,20,38,2,True
44,2023-06-23,2023-06-26,3,Gana Mas,68,47,76,True
44,2023-06-23,2023-06-26,3,Gana Mas,79,47,67,True
90,2023-06-24,2023-06-26,2,Quiniela Loteka,20,38,2,True
90,2023-06-24,2023-06-26,2,Quiniela Loteka,68,47,76,True
90,2023-06-24,2023-06-26,2,Quiniela Loteka,79,47,67,True
63,2023-06-23,2023-06-30,7,Quiniela Leidsa,26,28,59,True
63,2023-06-23,2023-06-30,7,Quiniela Leidsa,53,28,7,True
63,2023-06-23,2023-06-30,7,Quiniela Leidsa,87,33,28,True
94,2023-06-29,2023-06-30,1,Gana Mas,26,28,59,True
94,2023-06-29,2023-06-30,1,Gana Mas,53,28,7,True
94,2023-06-29,2023-06-30,1,Gana Mas,87,33,28,True
20,2023-06-26,2023-06-29,3,New York 2:30,9,39,7,True
20,2023-06-26,2023-06-29,3,New York 2:30,94,39,84,True
79,2023-06-26,2023-06-29,3,New York 2:30,9,39,7,True
79,2023-06-26,2023-06-29,3,New York 2:30,94,39,84,True
68,2023-06-26,2023-06-28,2,New York 2:30,22,44,70,True
26,2023-06-30,2023-07-05,5,Gana Mas,62,39,75,True
87,2023-06-30,2023-07-06,6,Loteria Nacional,92,43,27,True
62,2023-07-05,2023-07-07,2,New York 10:30,9,39,63,True
62,2023-07-05,2023-07-07,2,New York 10:30,30,39,3,True
92,2023-07-06,2023-07-07,1,Quiniela Loteka,9,39,63,True
92,2023-07-06,2023-07-07,1,Quiniela Loteka,30,39,3,True
22,2023-07-16,2023-07-20,4,Quiniela Loteka,65,52,37,True
22,2023-07-16,2023-07-20,4,Quiniela Loteka,97,52,93,True
70,2023-07-16,2023-07-18,2,Gana Mas,29,41,63,True
70,2023-07-16,2023-07-18,2,Gana Mas,56,40,41,True
32,2023-07-17,2023-07-19,2,Loteria Nacional,9,39,35,True
56,2023-07-18,2023-07-24,6,Quiniela Real,29,41,42,True
56,2023-07-18,2023-07-24,6,Quiniela Real,63,38,42,True
56,2023-07-18,2023-07-24,6,Quiniela Real,71,42,41,True
26,2023-07-25,2023-08-01,7,Quiniela Leidsa,27,26,68,True
63,2023-07-30,2023-08-05,6,Loteria Nacional,92,43,68,True
